Datum;Tijd (CEST);Locatie;Golfhoogte in cm
30-9-2023;23:10;Platform HKZA;53
30-9-2023;23:20;Platform HKZA;53
30-9-2023;23:30;Platform HKZA;53
30-9-2023;23:40;Platform HKZA;53
30-9-2023;23:50;Platform HKZA;55
1-10-2023;00:00;Platform HKZA;54
1-10-2023;00:10;Platform HKZA;54
1-10-2023;00:20;Platform HKZA;56
1-10-2023;00:30;Platform HKZA;56
1-10-2023;00:40;Platform HKZA;55
1-10-2023;00:50;Platform HKZA;57
1-10-2023;01:00;Platform HKZA;60
1-10-2023;01:10;Platform HKZA;59
1-10-2023;01:20;Platform HKZA;62
1-10-2023;01:30;Platform HKZA;65
1-10-2023;01:40;Platform HKZA;66
1-10-2023;01:50;Platform HKZA;66
1-10-2023;02:00;Platform HKZA;64
1-10-2023;02:10;Platform HKZA;64
1-10-2023;02:20;Platform HKZA;65
1-10-2023;02:30;Platform HKZA;65
1-10-2023;02:40;Platform HKZA;73
1-10-2023;02:50;Platform HKZA;84
1-10-2023;03:00;Platform HKZA;85
1-10-2023;03:10;Platform HKZA;86
1-10-2023;03:20;Platform HKZA;89
1-10-2023;03:30;Platform HKZA;89
1-10-2023;03:40;Platform HKZA;90
1-10-2023;03:50;Platform HKZA;90
1-10-2023;04:00;Platform HKZA;94
1-10-2023;04:10;Platform HKZA;98
1-10-2023;04:20;Platform HKZA;98
1-10-2023;04:30;Platform HKZA;98
1-10-2023;04:40;Platform HKZA;96
1-10-2023;04:50;Platform HKZA;90
1-10-2023;05:00;Platform HKZA;85
1-10-2023;05:10;Platform HKZA;88
1-10-2023;05:20;Platform HKZA;89
1-10-2023;05:30;Platform HKZA;88
1-10-2023;05:40;Platform HKZA;88
1-10-2023;05:50;Platform HKZA;87
1-10-2023;06:00;Platform HKZA;88
1-10-2023;06:10;Platform HKZA;91
1-10-2023;06:20;Platform HKZA;95
1-10-2023;06:30;Platform HKZA;89
1-10-2023;06:40;Platform HKZA;94
1-10-2023;06:50;Platform HKZA;99
1-10-2023;07:00;Platform HKZA;93
1-10-2023;07:10;Platform HKZA;96
1-10-2023;07:20;Platform HKZA;95
1-10-2023;07:30;Platform HKZA;93
1-10-2023;07:40;Platform HKZA;90
1-10-2023;07:50;Platform HKZA;94
1-10-2023;08:00;Platform HKZA;93
1-10-2023;08:10;Platform HKZA;90
1-10-2023;08:20;Platform HKZA;91
1-10-2023;08:30;Platform HKZA;94
1-10-2023;08:40;Platform HKZA;99
1-10-2023;08:50;Platform HKZA;95
1-10-2023;09:00;Platform HKZA;94
1-10-2023;09:10;Platform HKZA;94
1-10-2023;09:20;Platform HKZA;98
1-10-2023;09:30;Platform HKZA;102
1-10-2023;09:40;Platform HKZA;94
1-10-2023;09:50;Platform HKZA;90
1-10-2023;10:00;Platform HKZA;92
1-10-2023;10:10;Platform HKZA;89
1-10-2023;10:20;Platform HKZA;87
1-10-2023;10:30;Platform HKZA;87
1-10-2023;10:40;Platform HKZA;87
1-10-2023;10:50;Platform HKZA;87
1-10-2023;11:00;Platform HKZA;86
1-10-2023;11:10;Platform HKZA;92
1-10-2023;11:20;Platform HKZA;95
1-10-2023;11:30;Platform HKZA;90
1-10-2023;11:40;Platform HKZA;84
1-10-2023;11:50;Platform HKZA;88
1-10-2023;12:00;Platform HKZA;91
1-10-2023;12:10;Platform HKZA;92
1-10-2023;12:20;Platform HKZA;95
1-10-2023;12:30;Platform HKZA;93
1-10-2023;12:40;Platform HKZA;93
1-10-2023;12:50;Platform HKZA;91
1-10-2023;13:00;Platform HKZA;87
1-10-2023;13:10;Platform HKZA;83
1-10-2023;13:20;Platform HKZA;85
1-10-2023;13:30;Platform HKZA;97
1-10-2023;13:40;Platform HKZA;97
1-10-2023;13:50;Platform HKZA;93
1-10-2023;14:00;Platform HKZA;92
1-10-2023;14:10;Platform HKZA;90
1-10-2023;14:20;Platform HKZA;98
1-10-2023;14:30;Platform HKZA;101
1-10-2023;14:40;Platform HKZA;97
1-10-2023;14:50;Platform HKZA;95
1-10-2023;15:00;Platform HKZA;102
1-10-2023;15:10;Platform HKZA;113
1-10-2023;15:20;Platform HKZA;114
1-10-2023;15:30;Platform HKZA;110
1-10-2023;15:40;Platform HKZA;111
1-10-2023;15:50;Platform HKZA;108
1-10-2023;16:00;Platform HKZA;107
1-10-2023;16:10;Platform HKZA;105
1-10-2023;16:20;Platform HKZA;106
1-10-2023;16:30;Platform HKZA;110
1-10-2023;16:40;Platform HKZA;107
1-10-2023;16:50;Platform HKZA;105
1-10-2023;17:00;Platform HKZA;107
1-10-2023;17:10;Platform HKZA;107
1-10-2023;17:20;Platform HKZA;100
1-10-2023;17:30;Platform HKZA;97
1-10-2023;17:40;Platform HKZA;98
1-10-2023;17:50;Platform HKZA;93
1-10-2023;18:00;Platform HKZA;85
1-10-2023;18:10;Platform HKZA;79
1-10-2023;18:20;Platform HKZA;79
1-10-2023;18:30;Platform HKZA;77
1-10-2023;18:40;Platform HKZA;75
1-10-2023;18:50;Platform HKZA;75
1-10-2023;19:00;Platform HKZA;77
1-10-2023;19:10;Platform HKZA;81
1-10-2023;19:20;Platform HKZA;78
1-10-2023;19:30;Platform HKZA;71
1-10-2023;19:40;Platform HKZA;69
1-10-2023;19:50;Platform HKZA;66
1-10-2023;20:00;Platform HKZA;67
1-10-2023;20:10;Platform HKZA;68
1-10-2023;20:20;Platform HKZA;68
1-10-2023;20:30;Platform HKZA;67
1-10-2023;20:40;Platform HKZA;67
1-10-2023;20:50;Platform HKZA;68
1-10-2023;21:00;Platform HKZA;64
1-10-2023;21:10;Platform HKZA;62
1-10-2023;21:20;Platform HKZA;64
1-10-2023;21:30;Platform HKZA;63
1-10-2023;21:40;Platform HKZA;62
1-10-2023;21:50;Platform HKZA;64
1-10-2023;22:00;Platform HKZA;63
1-10-2023;22:10;Platform HKZA;63
1-10-2023;22:20;Platform HKZA;63
1-10-2023;22:30;Platform HKZA;63
1-10-2023;22:40;Platform HKZA;59
1-10-2023;22:50;Platform HKZA;53
1-10-2023;23:00;Platform HKZA;54
1-10-2023;23:10;Platform HKZA;57
1-10-2023;23:20;Platform HKZA;57
1-10-2023;23:30;Platform HKZA;56
1-10-2023;23:40;Platform HKZA;53
1-10-2023;23:50;Platform HKZA;52
2-10-2023;00:00;Platform HKZA;52
2-10-2023;00:10;Platform HKZA;50
2-10-2023;00:20;Platform HKZA;53
2-10-2023;00:30;Platform HKZA;55
2-10-2023;00:40;Platform HKZA;54
2-10-2023;00:50;Platform HKZA;55
2-10-2023;01:00;Platform HKZA;56
2-10-2023;01:10;Platform HKZA;56
2-10-2023;01:20;Platform HKZA;56
2-10-2023;01:30;Platform HKZA;51
2-10-2023;01:40;Platform HKZA;51
2-10-2023;01:50;Platform HKZA;54
2-10-2023;02:00;Platform HKZA;55
2-10-2023;02:10;Platform HKZA;55
2-10-2023;02:20;Platform HKZA;53
2-10-2023;02:30;Platform HKZA;54
2-10-2023;02:40;Platform HKZA;54
2-10-2023;02:50;Platform HKZA;53
2-10-2023;03:00;Platform HKZA;54
2-10-2023;03:10;Platform HKZA;56
2-10-2023;03:20;Platform HKZA;55
2-10-2023;03:30;Platform HKZA;55
2-10-2023;03:40;Platform HKZA;55
2-10-2023;03:50;Platform HKZA;55
2-10-2023;04:00;Platform HKZA;54
2-10-2023;04:10;Platform HKZA;56
2-10-2023;04:20;Platform HKZA;55
2-10-2023;04:30;Platform HKZA;56
2-10-2023;04:40;Platform HKZA;57
2-10-2023;04:50;Platform HKZA;56
2-10-2023;05:00;Platform HKZA;58
2-10-2023;05:10;Platform HKZA;57
2-10-2023;05:20;Platform HKZA;59
2-10-2023;05:30;Platform HKZA;60
2-10-2023;05:40;Platform HKZA;56
2-10-2023;05:50;Platform HKZA;54
2-10-2023;06:00;Platform HKZA;56
2-10-2023;06:10;Platform HKZA;57
2-10-2023;06:20;Platform HKZA;53
2-10-2023;06:30;Platform HKZA;51
2-10-2023;06:40;Platform HKZA;52
2-10-2023;06:50;Platform HKZA;50
2-10-2023;07:00;Platform HKZA;51
2-10-2023;07:10;Platform HKZA;53
2-10-2023;07:20;Platform HKZA;48
2-10-2023;07:30;Platform HKZA;47
2-10-2023;07:40;Platform HKZA;50
2-10-2023;07:50;Platform HKZA;50
2-10-2023;08:00;Platform HKZA;49
2-10-2023;08:10;Platform HKZA;50
2-10-2023;08:20;Platform HKZA;50
2-10-2023;08:30;Platform HKZA;48
2-10-2023;08:40;Platform HKZA;47
2-10-2023;08:50;Platform HKZA;48
2-10-2023;09:00;Platform HKZA;47
2-10-2023;09:10;Platform HKZA;47
2-10-2023;09:20;Platform HKZA;47
2-10-2023;09:30;Platform HKZA;46
2-10-2023;09:40;Platform HKZA;44
2-10-2023;09:50;Platform HKZA;44
2-10-2023;10:00;Platform HKZA;44
2-10-2023;10:10;Platform HKZA;44
2-10-2023;10:20;Platform HKZA;43
2-10-2023;10:30;Platform HKZA;43
2-10-2023;10:40;Platform HKZA;43
2-10-2023;10:50;Platform HKZA;44
2-10-2023;11:00;Platform HKZA;44
2-10-2023;11:10;Platform HKZA;43
2-10-2023;11:20;Platform HKZA;43
2-10-2023;11:30;Platform HKZA;44
2-10-2023;11:40;Platform HKZA;42
2-10-2023;11:50;Platform HKZA;40
2-10-2023;12:00;Platform HKZA;41
2-10-2023;12:10;Platform HKZA;43
2-10-2023;12:20;Platform HKZA;42
2-10-2023;12:30;Platform HKZA;41
2-10-2023;12:40;Platform HKZA;41
2-10-2023;12:50;Platform HKZA;40
2-10-2023;13:00;Platform HKZA;39
2-10-2023;13:10;Platform HKZA;38
2-10-2023;13:20;Platform HKZA;39
2-10-2023;13:30;Platform HKZA;40
2-10-2023;13:40;Platform HKZA;39
2-10-2023;13:50;Platform HKZA;39
2-10-2023;14:00;Platform HKZA;38
2-10-2023;14:10;Platform HKZA;37
2-10-2023;14:20;Platform HKZA;40
2-10-2023;14:30;Platform HKZA;41
2-10-2023;14:40;Platform HKZA;40
2-10-2023;14:50;Platform HKZA;38
2-10-2023;15:00;Platform HKZA;36
2-10-2023;15:10;Platform HKZA;39
2-10-2023;15:20;Platform HKZA;40
2-10-2023;15:30;Platform HKZA;40
2-10-2023;15:40;Platform HKZA;40
2-10-2023;15:50;Platform HKZA;39
2-10-2023;16:00;Platform HKZA;39
2-10-2023;16:10;Platform HKZA;41
2-10-2023;16:20;Platform HKZA;43
2-10-2023;16:30;Platform HKZA;42
2-10-2023;16:40;Platform HKZA;41
2-10-2023;16:50;Platform HKZA;44
2-10-2023;17:00;Platform HKZA;42
2-10-2023;17:10;Platform HKZA;40
2-10-2023;17:20;Platform HKZA;41
2-10-2023;17:30;Platform HKZA;43
2-10-2023;17:40;Platform HKZA;41
2-10-2023;17:50;Platform HKZA;40
2-10-2023;18:00;Platform HKZA;41
2-10-2023;18:10;Platform HKZA;41
2-10-2023;18:20;Platform HKZA;40
2-10-2023;18:30;Platform HKZA;39
2-10-2023;18:40;Platform HKZA;38
2-10-2023;18:50;Platform HKZA;35
2-10-2023;19:00;Platform HKZA;35
2-10-2023;19:10;Platform HKZA;35
2-10-2023;19:20;Platform HKZA;34
2-10-2023;19:30;Platform HKZA;35
2-10-2023;19:40;Platform HKZA;34
2-10-2023;19:50;Platform HKZA;33
2-10-2023;20:00;Platform HKZA;33
2-10-2023;20:10;Platform HKZA;33
2-10-2023;20:20;Platform HKZA;33
2-10-2023;20:30;Platform HKZA;34
2-10-2023;20:40;Platform HKZA;33
2-10-2023;20:50;Platform HKZA;32
2-10-2023;21:00;Platform HKZA;33
2-10-2023;21:10;Platform HKZA;33
2-10-2023;21:20;Platform HKZA;33
2-10-2023;21:30;Platform HKZA;35
2-10-2023;21:40;Platform HKZA;37
2-10-2023;21:50;Platform HKZA;39
2-10-2023;22:00;Platform HKZA;40
2-10-2023;22:10;Platform HKZA;40
2-10-2023;22:20;Platform HKZA;41
2-10-2023;22:30;Platform HKZA;44
2-10-2023;22:40;Platform HKZA;44
2-10-2023;22:50;Platform HKZA;41
2-10-2023;23:00;Platform HKZA;41
2-10-2023;23:10;Platform HKZA;43
2-10-2023;23:20;Platform HKZA;44
2-10-2023;23:30;Platform HKZA;41
2-10-2023;23:40;Platform HKZA;40
2-10-2023;23:50;Platform HKZA;41
3-10-2023;00:00;Platform HKZA;41
3-10-2023;00:10;Platform HKZA;41
3-10-2023;00:20;Platform HKZA;40
3-10-2023;00:30;Platform HKZA;39
3-10-2023;00:40;Platform HKZA;38
3-10-2023;00:50;Platform HKZA;38
3-10-2023;01:00;Platform HKZA;37
3-10-2023;01:10;Platform HKZA;37
3-10-2023;01:20;Platform HKZA;39
3-10-2023;01:30;Platform HKZA;40
3-10-2023;01:40;Platform HKZA;42
3-10-2023;01:50;Platform HKZA;45
3-10-2023;02:00;Platform HKZA;47
3-10-2023;02:10;Platform HKZA;46
3-10-2023;02:20;Platform HKZA;44
3-10-2023;02:30;Platform HKZA;44
3-10-2023;02:40;Platform HKZA;46
3-10-2023;02:50;Platform HKZA;49
3-10-2023;03:00;Platform HKZA;54
3-10-2023;03:10;Platform HKZA;57
3-10-2023;03:20;Platform HKZA;59
3-10-2023;03:30;Platform HKZA;64
3-10-2023;03:40;Platform HKZA;69
3-10-2023;03:50;Platform HKZA;78
3-10-2023;04:00;Platform HKZA;92
3-10-2023;04:10;Platform HKZA;98
3-10-2023;04:20;Platform HKZA;101
3-10-2023;04:30;Platform HKZA;104
3-10-2023;04:40;Platform HKZA;114
3-10-2023;04:50;Platform HKZA;122
3-10-2023;05:00;Platform HKZA;124
3-10-2023;05:10;Platform HKZA;131
3-10-2023;05:20;Platform HKZA;133
3-10-2023;05:30;Platform HKZA;135
3-10-2023;05:40;Platform HKZA;146
3-10-2023;05:50;Platform HKZA;165
3-10-2023;06:00;Platform HKZA;160
3-10-2023;06:10;Platform HKZA;157
3-10-2023;06:20;Platform HKZA;173
3-10-2023;06:30;Platform HKZA;193
3-10-2023;06:40;Platform HKZA;202
3-10-2023;06:50;Platform HKZA;196
3-10-2023;07:00;Platform HKZA;198
3-10-2023;07:10;Platform HKZA;204
3-10-2023;07:20;Platform HKZA;204
3-10-2023;07:30;Platform HKZA;204
3-10-2023;07:40;Platform HKZA;197
3-10-2023;07:50;Platform HKZA;183
3-10-2023;08:00;Platform HKZA;183
3-10-2023;08:10;Platform HKZA;188
3-10-2023;08:20;Platform HKZA;184
3-10-2023;08:30;Platform HKZA;167
3-10-2023;08:40;Platform HKZA;161
3-10-2023;08:50;Platform HKZA;176
3-10-2023;09:00;Platform HKZA;171
3-10-2023;09:10;Platform HKZA;165
3-10-2023;09:20;Platform HKZA;171
3-10-2023;09:30;Platform HKZA;169
3-10-2023;09:40;Platform HKZA;167
3-10-2023;09:50;Platform HKZA;173
3-10-2023;10:00;Platform HKZA;177
3-10-2023;10:10;Platform HKZA;177
3-10-2023;10:20;Platform HKZA;172
3-10-2023;10:30;Platform HKZA;168
3-10-2023;10:40;Platform HKZA;178
3-10-2023;10:50;Platform HKZA;182
3-10-2023;11:00;Platform HKZA;189
3-10-2023;11:10;Platform HKZA;193
3-10-2023;11:20;Platform HKZA;204
3-10-2023;11:30;Platform HKZA;216
3-10-2023;11:40;Platform HKZA;216
3-10-2023;11:50;Platform HKZA;215
3-10-2023;12:00;Platform HKZA;221
3-10-2023;12:10;Platform HKZA;222
3-10-2023;12:20;Platform HKZA;216
3-10-2023;12:30;Platform HKZA;230
3-10-2023;12:40;Platform HKZA;227
3-10-2023;12:50;Platform HKZA;203
3-10-2023;13:00;Platform HKZA;196
3-10-2023;13:10;Platform HKZA;207
3-10-2023;13:20;Platform HKZA;207
3-10-2023;13:30;Platform HKZA;194
3-10-2023;13:40;Platform HKZA;189
3-10-2023;13:50;Platform HKZA;190
3-10-2023;14:00;Platform HKZA;200
3-10-2023;14:10;Platform HKZA;206
3-10-2023;14:20;Platform HKZA;211
3-10-2023;14:30;Platform HKZA;205
3-10-2023;14:40;Platform HKZA;202
3-10-2023;14:50;Platform HKZA;205
3-10-2023;15:00;Platform HKZA;224
3-10-2023;15:10;Platform HKZA;224
3-10-2023;15:20;Platform HKZA;207
3-10-2023;15:30;Platform HKZA;206
3-10-2023;15:40;Platform HKZA;208
3-10-2023;15:50;Platform HKZA;218
3-10-2023;16:00;Platform HKZA;215
3-10-2023;16:10;Platform HKZA;201
3-10-2023;16:20;Platform HKZA;205
3-10-2023;16:30;Platform HKZA;199
3-10-2023;16:40;Platform HKZA;193
3-10-2023;16:50;Platform HKZA;217
3-10-2023;17:00;Platform HKZA;215
3-10-2023;17:10;Platform HKZA;205
3-10-2023;17:20;Platform HKZA;208
3-10-2023;17:30;Platform HKZA;205
3-10-2023;17:40;Platform HKZA;204
3-10-2023;17:50;Platform HKZA;200
3-10-2023;18:00;Platform HKZA;215
3-10-2023;18:10;Platform HKZA;194
3-10-2023;18:20;Platform HKZA;195
3-10-2023;18:30;Platform HKZA;220
3-10-2023;18:40;Platform HKZA;219
3-10-2023;18:50;Platform HKZA;197
3-10-2023;19:00;Platform HKZA;211
3-10-2023;19:10;Platform HKZA;221
3-10-2023;19:20;Platform HKZA;226
3-10-2023;19:30;Platform HKZA;224
3-10-2023;19:40;Platform HKZA;213
3-10-2023;19:50;Platform HKZA;219
3-10-2023;20:00;Platform HKZA;218
3-10-2023;20:10;Platform HKZA;228
3-10-2023;20:20;Platform HKZA;231
3-10-2023;20:30;Platform HKZA;228
3-10-2023;20:40;Platform HKZA;226
3-10-2023;20:50;Platform HKZA;233
3-10-2023;21:00;Platform HKZA;232
3-10-2023;21:10;Platform HKZA;226
3-10-2023;21:20;Platform HKZA;238
3-10-2023;21:30;Platform HKZA;248
3-10-2023;21:40;Platform HKZA;236
3-10-2023;21:50;Platform HKZA;219
3-10-2023;22:00;Platform HKZA;222
3-10-2023;22:10;Platform HKZA;228
3-10-2023;22:20;Platform HKZA;238
3-10-2023;22:30;Platform HKZA;226
3-10-2023;22:40;Platform HKZA;226
3-10-2023;22:50;Platform HKZA;237
3-10-2023;23:00;Platform HKZA;227
3-10-2023;23:10;Platform HKZA;262
3-10-2023;23:20;Platform HKZA;275
3-10-2023;23:30;Platform HKZA;255
3-10-2023;23:40;Platform HKZA;258
3-10-2023;23:50;Platform HKZA;281
4-10-2023;00:00;Platform HKZA;277
4-10-2023;00:10;Platform HKZA;244
4-10-2023;00:20;Platform HKZA;232
4-10-2023;00:30;Platform HKZA;238
4-10-2023;00:40;Platform HKZA;276
4-10-2023;00:50;Platform HKZA;274
4-10-2023;01:00;Platform HKZA;251
4-10-2023;01:10;Platform HKZA;241
4-10-2023;01:20;Platform HKZA;233
4-10-2023;01:30;Platform HKZA;239
4-10-2023;01:40;Platform HKZA;233
4-10-2023;01:50;Platform HKZA;225
4-10-2023;02:00;Platform HKZA;223
4-10-2023;02:10;Platform HKZA;240
4-10-2023;02:20;Platform HKZA;246
4-10-2023;02:30;Platform HKZA;229
4-10-2023;02:40;Platform HKZA;221
4-10-2023;02:50;Platform HKZA;237
4-10-2023;03:00;Platform HKZA;231
4-10-2023;03:10;Platform HKZA;223
4-10-2023;03:20;Platform HKZA;223
4-10-2023;03:30;Platform HKZA;210
4-10-2023;03:40;Platform HKZA;213
4-10-2023;03:50;Platform HKZA;228
4-10-2023;04:00;Platform HKZA;232
4-10-2023;04:10;Platform HKZA;228
4-10-2023;04:20;Platform HKZA;222
4-10-2023;04:30;Platform HKZA;206
4-10-2023;04:40;Platform HKZA;199
4-10-2023;04:50;Platform HKZA;216
4-10-2023;05:00;Platform HKZA;222
4-10-2023;05:10;Platform HKZA;205
4-10-2023;05:20;Platform HKZA;214
4-10-2023;05:30;Platform HKZA;207
4-10-2023;05:40;Platform HKZA;197
4-10-2023;05:50;Platform HKZA;208
4-10-2023;06:00;Platform HKZA;211
4-10-2023;06:10;Platform HKZA;209
4-10-2023;06:20;Platform HKZA;195
4-10-2023;06:30;Platform HKZA;195
4-10-2023;06:40;Platform HKZA;193
4-10-2023;06:50;Platform HKZA;187
4-10-2023;07:00;Platform HKZA;184
4-10-2023;07:10;Platform HKZA;177
4-10-2023;07:20;Platform HKZA;174
4-10-2023;07:30;Platform HKZA;170
4-10-2023;07:40;Platform HKZA;159
4-10-2023;07:50;Platform HKZA;156
4-10-2023;08:00;Platform HKZA;165
4-10-2023;08:10;Platform HKZA;160
4-10-2023;08:20;Platform HKZA;160
4-10-2023;08:30;Platform HKZA;169
4-10-2023;08:40;Platform HKZA;168
4-10-2023;08:50;Platform HKZA;166
4-10-2023;09:00;Platform HKZA;172
4-10-2023;09:10;Platform HKZA;164
4-10-2023;09:20;Platform HKZA;164
4-10-2023;09:30;Platform HKZA;162
4-10-2023;09:40;Platform HKZA;150
4-10-2023;09:50;Platform HKZA;148
4-10-2023;10:00;Platform HKZA;144
4-10-2023;10:10;Platform HKZA;147
4-10-2023;10:20;Platform HKZA;147
4-10-2023;10:30;Platform HKZA;146
4-10-2023;10:40;Platform HKZA;152
4-10-2023;10:50;Platform HKZA;152
4-10-2023;11:00;Platform HKZA;148
4-10-2023;11:10;Platform HKZA;139
4-10-2023;11:20;Platform HKZA;149
4-10-2023;11:30;Platform HKZA;154
4-10-2023;11:40;Platform HKZA;149
4-10-2023;11:50;Platform HKZA;149
4-10-2023;12:00;Platform HKZA;148
4-10-2023;12:10;Platform HKZA;153
4-10-2023;12:20;Platform HKZA;152
4-10-2023;12:30;Platform HKZA;148
4-10-2023;12:40;Platform HKZA;143
4-10-2023;12:50;Platform HKZA;141
4-10-2023;13:00;Platform HKZA;149
4-10-2023;13:10;Platform HKZA;153
4-10-2023;13:20;Platform HKZA;151
4-10-2023;13:30;Platform HKZA;157
4-10-2023;13:40;Platform HKZA;159
4-10-2023;13:50;Platform HKZA;158
4-10-2023;14:00;Platform HKZA;164
4-10-2023;14:10;Platform HKZA;162
4-10-2023;14:20;Platform HKZA;157
4-10-2023;14:30;Platform HKZA;154
4-10-2023;14:40;Platform HKZA;155
4-10-2023;14:50;Platform HKZA;159
4-10-2023;15:00;Platform HKZA;167
4-10-2023;15:10;Platform HKZA;167
4-10-2023;15:20;Platform HKZA;162
4-10-2023;15:30;Platform HKZA;157
4-10-2023;15:40;Platform HKZA;149
4-10-2023;15:50;Platform HKZA;145
4-10-2023;16:00;Platform HKZA;153
4-10-2023;16:10;Platform HKZA;161
4-10-2023;16:20;Platform HKZA;160
4-10-2023;16:30;Platform HKZA;162
4-10-2023;16:40;Platform HKZA;161
4-10-2023;16:50;Platform HKZA;167
4-10-2023;17:00;Platform HKZA;175
4-10-2023;17:10;Platform HKZA;181
4-10-2023;17:20;Platform HKZA;191
4-10-2023;17:30;Platform HKZA;190
4-10-2023;17:40;Platform HKZA;184
4-10-2023;17:50;Platform HKZA;190
4-10-2023;18:00;Platform HKZA;187
4-10-2023;18:10;Platform HKZA;181
4-10-2023;18:20;Platform HKZA;190
4-10-2023;18:30;Platform HKZA;192
4-10-2023;18:40;Platform HKZA;180
4-10-2023;18:50;Platform HKZA;185
4-10-2023;19:00;Platform HKZA;185
4-10-2023;19:10;Platform HKZA;180
4-10-2023;19:20;Platform HKZA;186
4-10-2023;19:30;Platform HKZA;194
4-10-2023;19:40;Platform HKZA;195
4-10-2023;19:50;Platform HKZA;185
4-10-2023;20:00;Platform HKZA;189
4-10-2023;20:10;Platform HKZA;186
4-10-2023;20:20;Platform HKZA;178
4-10-2023;20:30;Platform HKZA;185
4-10-2023;20:40;Platform HKZA;183
4-10-2023;20:50;Platform HKZA;182
4-10-2023;21:00;Platform HKZA;179
4-10-2023;21:10;Platform HKZA;170
4-10-2023;21:20;Platform HKZA;170
4-10-2023;21:30;Platform HKZA;165
4-10-2023;21:40;Platform HKZA;168
4-10-2023;21:50;Platform HKZA;176
4-10-2023;22:00;Platform HKZA;178
4-10-2023;22:10;Platform HKZA;170
4-10-2023;22:20;Platform HKZA;170
4-10-2023;22:30;Platform HKZA;173
4-10-2023;22:40;Platform HKZA;166
4-10-2023;22:50;Platform HKZA;166
4-10-2023;23:00;Platform HKZA;170
4-10-2023;23:10;Platform HKZA;171
4-10-2023;23:20;Platform HKZA;178
4-10-2023;23:30;Platform HKZA;176
4-10-2023;23:40;Platform HKZA;175
4-10-2023;23:50;Platform HKZA;181
5-10-2023;00:00;Platform HKZA;170
5-10-2023;00:10;Platform HKZA;173
5-10-2023;00:20;Platform HKZA;180
5-10-2023;00:30;Platform HKZA;178
5-10-2023;00:40;Platform HKZA;188
5-10-2023;00:50;Platform HKZA;203
5-10-2023;01:00;Platform HKZA;203
5-10-2023;01:10;Platform HKZA;185
5-10-2023;01:20;Platform HKZA;190
5-10-2023;01:30;Platform HKZA;195
5-10-2023;01:40;Platform HKZA;204
5-10-2023;01:50;Platform HKZA;203
5-10-2023;02:00;Platform HKZA;196
5-10-2023;02:10;Platform HKZA;222
5-10-2023;02:20;Platform HKZA;225
5-10-2023;02:30;Platform HKZA;205
5-10-2023;02:40;Platform HKZA;196
5-10-2023;02:50;Platform HKZA;199
5-10-2023;03:00;Platform HKZA;201
5-10-2023;03:10;Platform HKZA;212
5-10-2023;03:20;Platform HKZA;223
5-10-2023;03:30;Platform HKZA;224
5-10-2023;03:40;Platform HKZA;226
5-10-2023;03:50;Platform HKZA;220
5-10-2023;04:00;Platform HKZA;206
5-10-2023;04:10;Platform HKZA;201
5-10-2023;04:20;Platform HKZA;198
5-10-2023;04:30;Platform HKZA;207
5-10-2023;04:40;Platform HKZA;217
5-10-2023;04:50;Platform HKZA;212
5-10-2023;05:00;Platform HKZA;198
5-10-2023;05:10;Platform HKZA;203
5-10-2023;05:20;Platform HKZA;202
5-10-2023;05:30;Platform HKZA;192
5-10-2023;05:40;Platform HKZA;191
5-10-2023;05:50;Platform HKZA;194
5-10-2023;06:00;Platform HKZA;190
5-10-2023;06:10;Platform HKZA;179
5-10-2023;06:20;Platform HKZA;192
5-10-2023;06:30;Platform HKZA;195
5-10-2023;06:40;Platform HKZA;180
5-10-2023;06:50;Platform HKZA;175
5-10-2023;07:00;Platform HKZA;182
5-10-2023;07:10;Platform HKZA;193
5-10-2023;07:20;Platform HKZA;191
5-10-2023;07:30;Platform HKZA;184
5-10-2023;07:40;Platform HKZA;173
5-10-2023;07:50;Platform HKZA;158
5-10-2023;08:00;Platform HKZA;180
5-10-2023;08:10;Platform HKZA;196
5-10-2023;08:20;Platform HKZA;182
5-10-2023;08:30;Platform HKZA;178
5-10-2023;08:40;Platform HKZA;180
5-10-2023;08:50;Platform HKZA;183
5-10-2023;09:00;Platform HKZA;176
5-10-2023;09:10;Platform HKZA;168
5-10-2023;09:20;Platform HKZA;171
5-10-2023;09:30;Platform HKZA;179
5-10-2023;09:40;Platform HKZA;186
5-10-2023;09:50;Platform HKZA;173
5-10-2023;10:00;Platform HKZA;162
5-10-2023;10:10;Platform HKZA;155
5-10-2023;10:20;Platform HKZA;152
5-10-2023;10:30;Platform HKZA;155
5-10-2023;10:40;Platform HKZA;151
5-10-2023;10:50;Platform HKZA;146
5-10-2023;11:00;Platform HKZA;146
5-10-2023;11:10;Platform HKZA;146
5-10-2023;11:20;Platform HKZA;137
5-10-2023;11:30;Platform HKZA;138
5-10-2023;11:40;Platform HKZA;145
5-10-2023;11:50;Platform HKZA;147
5-10-2023;12:00;Platform HKZA;145
5-10-2023;12:10;Platform HKZA;136
5-10-2023;12:20;Platform HKZA;134
5-10-2023;12:30;Platform HKZA;154
5-10-2023;12:40;Platform HKZA;152
5-10-2023;12:50;Platform HKZA;134
5-10-2023;13:00;Platform HKZA;132
5-10-2023;13:10;Platform HKZA;123
5-10-2023;13:20;Platform HKZA;119
5-10-2023;13:30;Platform HKZA;117
5-10-2023;13:40;Platform HKZA;112
5-10-2023;13:50;Platform HKZA;114
