Datum;Tijd (CEST);Locatie;Golfhoogte in cm
27-9-2023;07:10;Platform HKZA;48
27-9-2023;07:20;Platform HKZA;46
27-9-2023;07:30;Platform HKZA;47
27-9-2023;07:40;Platform HKZA;46
27-9-2023;07:50;Platform HKZA;44
27-9-2023;08:00;Platform HKZA;45
27-9-2023;08:10;Platform HKZA;46
27-9-2023;08:20;Platform HKZA;47
27-9-2023;08:30;Platform HKZA;45
27-9-2023;08:40;Platform HKZA;42
27-9-2023;08:50;Platform HKZA;41
27-9-2023;09:00;Platform HKZA;41
27-9-2023;09:10;Platform HKZA;42
27-9-2023;09:20;Platform HKZA;41
27-9-2023;09:30;Platform HKZA;40
27-9-2023;09:40;Platform HKZA;40
27-9-2023;09:50;Platform HKZA;39
27-9-2023;10:00;Platform HKZA;39
27-9-2023;10:10;Platform HKZA;40
27-9-2023;10:20;Platform HKZA;38
27-9-2023;10:30;Platform HKZA;40
27-9-2023;10:40;Platform HKZA;42
27-9-2023;10:50;Platform HKZA;38
27-9-2023;11:00;Platform HKZA;38
27-9-2023;11:10;Platform HKZA;39
27-9-2023;11:20;Platform HKZA;40
27-9-2023;11:30;Platform HKZA;40
27-9-2023;11:40;Platform HKZA;38
27-9-2023;11:50;Platform HKZA;40
27-9-2023;12:00;Platform HKZA;40
27-9-2023;12:10;Platform HKZA;36
27-9-2023;12:20;Platform HKZA;36
27-9-2023;12:30;Platform HKZA;38
27-9-2023;12:40;Platform HKZA;39
27-9-2023;12:50;Platform HKZA;39
27-9-2023;13:00;Platform HKZA;40
27-9-2023;13:10;Platform HKZA;39
27-9-2023;13:20;Platform HKZA;38
27-9-2023;13:30;Platform HKZA;38
27-9-2023;13:40;Platform HKZA;39
27-9-2023;13:50;Platform HKZA;39
27-9-2023;14:00;Platform HKZA;36
27-9-2023;14:10;Platform HKZA;34
27-9-2023;14:20;Platform HKZA;33
27-9-2023;14:30;Platform HKZA;35
27-9-2023;14:40;Platform HKZA;34
27-9-2023;14:50;Platform HKZA;31
27-9-2023;15:00;Platform HKZA;31
27-9-2023;15:10;Platform HKZA;31
27-9-2023;15:20;Platform HKZA;30
27-9-2023;15:30;Platform HKZA;31
27-9-2023;15:40;Platform HKZA;31
27-9-2023;15:50;Platform HKZA;29
27-9-2023;16:00;Platform HKZA;28
27-9-2023;16:10;Platform HKZA;28
27-9-2023;16:20;Platform HKZA;28
27-9-2023;16:30;Platform HKZA;26
27-9-2023;16:40;Platform HKZA;25
27-9-2023;16:50;Platform HKZA;24
27-9-2023;17:00;Platform HKZA;25
27-9-2023;17:10;Platform HKZA;26
27-9-2023;17:20;Platform HKZA;25
27-9-2023;17:30;Platform HKZA;25
27-9-2023;17:40;Platform HKZA;26
27-9-2023;17:50;Platform HKZA;26
27-9-2023;18:00;Platform HKZA;26
27-9-2023;18:10;Platform HKZA;26
27-9-2023;18:20;Platform HKZA;27
27-9-2023;18:30;Platform HKZA;26
27-9-2023;18:40;Platform HKZA;27
27-9-2023;18:50;Platform HKZA;27
27-9-2023;19:00;Platform HKZA;27
27-9-2023;19:10;Platform HKZA;30
27-9-2023;19:20;Platform HKZA;33
27-9-2023;19:30;Platform HKZA;33
27-9-2023;19:40;Platform HKZA;31
27-9-2023;19:50;Platform HKZA;32
27-9-2023;20:00;Platform HKZA;32
27-9-2023;20:10;Platform HKZA;32
27-9-2023;20:20;Platform HKZA;33
27-9-2023;20:30;Platform HKZA;36
27-9-2023;20:40;Platform HKZA;38
27-9-2023;20:50;Platform HKZA;38
27-9-2023;21:00;Platform HKZA;41
27-9-2023;21:10;Platform HKZA;43
27-9-2023;21:20;Platform HKZA;44
27-9-2023;21:30;Platform HKZA;47
27-9-2023;21:40;Platform HKZA;51
27-9-2023;21:50;Platform HKZA;51
27-9-2023;22:00;Platform HKZA;53
27-9-2023;22:10;Platform HKZA;56
27-9-2023;22:20;Platform HKZA;55
27-9-2023;22:30;Platform HKZA;62
27-9-2023;22:40;Platform HKZA;66
27-9-2023;22:50;Platform HKZA;69
27-9-2023;23:00;Platform HKZA;70
27-9-2023;23:10;Platform HKZA;71
27-9-2023;23:20;Platform HKZA;72
27-9-2023;23:30;Platform HKZA;70
27-9-2023;23:40;Platform HKZA;69
27-9-2023;23:50;Platform HKZA;66
28-9-2023;00:00;Platform HKZA;69
28-9-2023;00:10;Platform HKZA;77
28-9-2023;00:20;Platform HKZA;83
28-9-2023;00:30;Platform HKZA;88
28-9-2023;00:40;Platform HKZA;85
28-9-2023;00:50;Platform HKZA;85
28-9-2023;01:00;Platform HKZA;89
28-9-2023;01:10;Platform HKZA;90
28-9-2023;01:20;Platform HKZA;85
28-9-2023;01:30;Platform HKZA;87
28-9-2023;01:40;Platform HKZA;87
28-9-2023;01:50;Platform HKZA;84
28-9-2023;02:00;Platform HKZA;86
28-9-2023;02:10;Platform HKZA;85
28-9-2023;02:20;Platform HKZA;87
28-9-2023;02:30;Platform HKZA;93
28-9-2023;02:40;Platform HKZA;88
28-9-2023;02:50;Platform HKZA;84
28-9-2023;03:00;Platform HKZA;87
28-9-2023;03:10;Platform HKZA;90
28-9-2023;03:20;Platform HKZA;100
28-9-2023;03:30;Platform HKZA;97
28-9-2023;03:40;Platform HKZA;93
28-9-2023;03:50;Platform HKZA;96
28-9-2023;04:00;Platform HKZA;106
28-9-2023;04:10;Platform HKZA;109
28-9-2023;04:20;Platform HKZA;114
28-9-2023;04:30;Platform HKZA;121
28-9-2023;04:40;Platform HKZA;127
28-9-2023;04:50;Platform HKZA;139
28-9-2023;05:00;Platform HKZA;142
28-9-2023;05:10;Platform HKZA;154
28-9-2023;05:20;Platform HKZA;164
28-9-2023;05:30;Platform HKZA;175
28-9-2023;05:40;Platform HKZA;178
28-9-2023;05:50;Platform HKZA;177
28-9-2023;06:00;Platform HKZA;187
28-9-2023;06:10;Platform HKZA;198
28-9-2023;06:20;Platform HKZA;196
28-9-2023;06:30;Platform HKZA;194
28-9-2023;06:40;Platform HKZA;192
28-9-2023;06:50;Platform HKZA;181
28-9-2023;07:00;Platform HKZA;183
28-9-2023;07:10;Platform HKZA;178
28-9-2023;07:20;Platform HKZA;174
28-9-2023;07:30;Platform HKZA;182
28-9-2023;07:40;Platform HKZA;181
28-9-2023;07:50;Platform HKZA;180
28-9-2023;08:00;Platform HKZA;182
28-9-2023;08:10;Platform HKZA;182
28-9-2023;08:20;Platform HKZA;186
28-9-2023;08:30;Platform HKZA;185
28-9-2023;08:40;Platform HKZA;180
28-9-2023;08:50;Platform HKZA;179
28-9-2023;09:00;Platform HKZA;174
28-9-2023;09:10;Platform HKZA;170
28-9-2023;09:20;Platform HKZA;169
28-9-2023;09:30;Platform HKZA;164
28-9-2023;09:40;Platform HKZA;154
28-9-2023;09:50;Platform HKZA;154
28-9-2023;10:00;Platform HKZA;166
28-9-2023;10:10;Platform HKZA;161
28-9-2023;10:20;Platform HKZA;143
28-9-2023;10:30;Platform HKZA;141
28-9-2023;10:40;Platform HKZA;149
28-9-2023;10:50;Platform HKZA;157
28-9-2023;11:00;Platform HKZA;153
28-9-2023;11:10;Platform HKZA;145
28-9-2023;11:20;Platform HKZA;137
28-9-2023;11:30;Platform HKZA;137
28-9-2023;11:40;Platform HKZA;149
28-9-2023;11:50;Platform HKZA;155
28-9-2023;12:00;Platform HKZA;148
28-9-2023;12:10;Platform HKZA;144
28-9-2023;12:20;Platform HKZA;141
28-9-2023;12:30;Platform HKZA;138
28-9-2023;12:40;Platform HKZA;138
28-9-2023;12:50;Platform HKZA;139
28-9-2023;13:00;Platform HKZA;146
28-9-2023;13:10;Platform HKZA;152
28-9-2023;13:20;Platform HKZA;155
28-9-2023;13:30;Platform HKZA;154
28-9-2023;13:40;Platform HKZA;142
28-9-2023;13:50;Platform HKZA;143
28-9-2023;14:00;Platform HKZA;150
28-9-2023;14:10;Platform HKZA;145
28-9-2023;14:20;Platform HKZA;144
28-9-2023;14:30;Platform HKZA;150
28-9-2023;14:40;Platform HKZA;152
28-9-2023;14:50;Platform HKZA;149
28-9-2023;15:00;Platform HKZA;143
28-9-2023;15:10;Platform HKZA;139
28-9-2023;15:20;Platform HKZA;131
28-9-2023;15:30;Platform HKZA;123
28-9-2023;15:40;Platform HKZA;120
28-9-2023;15:50;Platform HKZA;122
28-9-2023;16:00;Platform HKZA;128
28-9-2023;16:10;Platform HKZA;131
28-9-2023;16:20;Platform HKZA;124
28-9-2023;16:30;Platform HKZA;117
28-9-2023;16:40;Platform HKZA;115
28-9-2023;16:50;Platform HKZA;113
28-9-2023;17:00;Platform HKZA;112
28-9-2023;17:10;Platform HKZA;111
28-9-2023;17:20;Platform HKZA;114
28-9-2023;17:30;Platform HKZA;110
28-9-2023;17:40;Platform HKZA;103
28-9-2023;17:50;Platform HKZA;109
28-9-2023;18:00;Platform HKZA;110
28-9-2023;18:10;Platform HKZA;106
28-9-2023;18:20;Platform HKZA;105
28-9-2023;18:30;Platform HKZA;100
28-9-2023;18:40;Platform HKZA;99
28-9-2023;18:50;Platform HKZA;101
28-9-2023;19:00;Platform HKZA;102
28-9-2023;19:10;Platform HKZA;98
28-9-2023;19:20;Platform HKZA;100
28-9-2023;19:30;Platform HKZA;96
28-9-2023;19:40;Platform HKZA;88
28-9-2023;19:50;Platform HKZA;88
28-9-2023;20:00;Platform HKZA;95
28-9-2023;20:10;Platform HKZA;92
28-9-2023;20:20;Platform HKZA;86
28-9-2023;20:30;Platform HKZA;91
28-9-2023;20:40;Platform HKZA;92
28-9-2023;20:50;Platform HKZA;86
28-9-2023;21:00;Platform HKZA;84
28-9-2023;21:10;Platform HKZA;84
28-9-2023;21:20;Platform HKZA;80
28-9-2023;21:30;Platform HKZA;76
28-9-2023;21:40;Platform HKZA;73
28-9-2023;21:50;Platform HKZA;73
